utteredby	name	fullname	id	address	descr	lat	lon	ialink
afor_av_sandro-vesce_01	Chiesina		PL000058			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Città		PL000066			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Collegio		PL000070			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Diocesi di modena		PL000089			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Fidenza		PL000107	fidenza, italy		10.0611939	44.866522	
afor_av_sandro-vesce_01	Fossa		PL000118			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Gino nasi		PL000125	Via Tarquinia, 55, 41125 Modena MO		10.9373816	44.6222428	
afor_av_sandro-vesce_01	Gregoriana		PL000128			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Liceo classico		PL000136			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Modena est		PL000158			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Naviglio		PL000163			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Sezione		PL000228			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Torrazzi		PL000244	Torrazzi, Modena, MO, Emilia-Romagna, 41122, Italy 		10.963492	44.6606606	
afor_av_sandro-vesce_01	Tre olmi		PL000245	Tre Olmi, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41123, Italy (		10.8734342621091	44.6674171	
afor_av_sandro-vesce_01	Tre re		PL000246	Via Tre Re, Quartiere Baggiovara, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy 		10.9233344	44.6437922	
afor_av_sandro-vesce_01	Università		PL000251			NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Università gregoriana		PL000252	Pontifical Gregorian University, 4, Piazza della Pilotta, Municipio Roma I, Rome, RM, Lazio, 00187, Italy (		NotAvailable	NotAvailable	
afor_av_sandro-vesce_01	Via del gambero		PL000263	Via del Gambero, Modena, MO		10.937508	44.6395163	
afor_av_sandro-vesce_01	Vivinatura		PL000283			NotAvailable	NotAvailable	
afor_av_sandro-vesce_02	Cam		PL000031	Via Nicolò Biondo 89, Modena		10.9013686	44.6542114	
afor_av_sandro-vesce_02	Carpigiani		PL000040			NotAvailable	NotAvailable	
afor_av_sandro-vesce_02	Carrozzeria autodromo		PL000041	Via Nicolò Biondo 89, Modena		10.9013686	44.6542114	
afor_av_sandro-vesce_02	Carrozzeria orlandi		PL000042			NotAvailable	NotAvailable	
afor_av_sandro-vesce_02	Castelfranco		PL000045	castelfranco emilia		11.0529006	44.5950245	
afor_av_sandro-vesce_02	Cittadella		PL000067			NotAvailable	NotAvailable	
afor_av_sandro-vesce_02	Cooperativa autodromo		PL000076			NotAvailable	NotAvailable	
afor_av_sandro-vesce_02	Francia		PL000119	France		1.8883335	46.603354	
	Indusonva		PL000129			NotAvailable	NotAvailable	
	Italia		PL000131	Italia		12.674297	42.6384261	
	Libia		PL000135	libia		18.1236723	26.8234472	
	Liceo tassoni		PL000137	Liceo Scientifico Statale Alessandro Tassoni, 66, Viale Virginia Reiter, Quartiere Albareto, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy		NotAvailable	NotAvailable	
	Madonna pellegrina		PL000138	Madonna Pellegrina, Viale Don Giovanni Minzoni, Buon Pastore-Sant'Agnese-San Damaso, Modena, MO, Emilia-Romagna, 41125, Italy		10.9247681192572	44.63401655	
	Madonnina		PL000139	Madonnina, Modena, MO, Emilia-Romagna, 41123, Italy		10.8985687	44.6572947	
	Maldive		PL000142	Maldive		73.3287853	4.7064352	
	Mantova		PL000143	Mantova, Italy		10.7917191	45.1566683	
	Marche		PL000144	Marche, Italy		13.1415872	43.3458388	
	Maserati		PL000145	Maserati Store and Showroom, Via Divisione Acqui, Torrenova, Crocetta-San Lazzaro-Modena Est, Modena, MO, Emilia-Romagna, 41121, Italy 		10.94015	44.6491283	
	Matic elettra		PL000148	Via Nicolò Biondo 90, Modena		10.9010916	44.6542251	
