video_id	name	id	address	description
EGENIO_RONCHETTI_02	oratorio	PL000171		
SALVALAI_02	Ottani	PL000172		
nora01	Ovestlab	PL000173	Via Nicolò Biondo 86, Modena	
SALVALAI_02	Palazzetto dello Sport	PL000174	Palazzo dello Sport Palapanini, 25, Viale Dello Sport, Torrenova, Crocetta-San Lazzaro-Modena Est, Modena, MO, Emilia-Romagna, 41122, Italy	
vesce01	Panaro	PL000175		
nora01	Panini	PL000176	Via Emilio Po, 380, 41126 Modena MO	
nora01	parchetto	PL000177		
MOGLIE_MAESTRO	Parco Ferrari	PL000179	Parco Enzo Ferrari, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, Italy	
MIRIAM_01_1	Parco Sigurtà	PL000180	Parco Giardino Sigurtà, Viale dei Pini, Il Torrione, Valeggio sul Mincio, VR, Veneto, 37067, Italy	
vesce01	Parma	PL000181	Parma, Italy	
nora01	parrocchia	PL000182		
RITA_RONCHETTI_1	Parrocchia della Madonnina	PL000183	Via Pietro Alvarado, 19, 41123 Modena MO	
nora01	parrocchia nuova	PL000184		
nora01	passaggio a livello	PL000185		
SALVALAI_02	Pecorari	PL000186		
MOGLIE_MAESTRO	Pestalozzi	PL000187	Via Monte Grappa, 49, 41121 Modena MO	vecchio nome delle scuole materne in Monte Grappa
SALVALAI_02	Piazza Mazzini	PL000188	Piazza Giuseppe Mazzini, Quartiere Albareto, Centro Storico, Modena, MO, Emilia-Romagna, 41121, Italy	
CARLO_CANDI	piazza San Marco	PL000189		
CARLO_CANDI	pista sportiva	PL000190		la Fratellanza
fantoni02	Po	PL000191		
MIRIAM_01_1	Polisportiva di San Faustino	PL000192	Via Wiligelmo, 72, 41124 Modena MO	
nora01	ponte	PL000193		
RITA_RONCHETTI_1	Pontedera	PL000194	Pontedera, Italy	
nora01	Ponzoni	PL000195		
nora01	posta	PL000196		
CARLO_CANDI	Pozzoleo	PL000197	Chiesetta del Pozzoleo / Santa Filomena, Discesa Pozzoleo, Santa Severina, KR, Calabria, 88832, Italy	
vesce01	provincia di Modena	PL000198	MO, Emilia-Romagna, Italy	
RITA_RONCHETTI_1	quartiere	PL000199		
MOGLIE_MAESTRO	Reggio	PL000200		
CARLO_CANDI	Reggio Emilia	PL000201	Reggio Emilia, Italy	
RITA_RONCHETTI_1	Repubblica di Montefiorino	PL000202		
MIRIAM_02_1	Riccione	PL000203	Riccione, Italy	
CARLO_CANDI	Roma	PL000204	Roma, Italy	
MIRIAM_02_1	Romagna	PL000205	Romagna, Modigliana, Unione di Comuni della Romagna Forlivese, FC, Emilia-Romagna, 47015, Italy	
nora01	Rossi Motoriduttori	PL000206		
MIRIAM_01_1	Sacca	PL000207	Sacca, Modena, MO, Emilia-Romagna, 41121, Italy	
EGENIO_RONCHETTI_02	sala	PL000208		della parrocchia
RITA_RONCHETTI_1	Sala Civica	PL000209		
RITA_RONCHETTI_1	sala di quartiere	PL000210		
RITA_RONCHETTI_1	sala parrocchiale della Madonnina	PL000211	Via Pietro Alvarado, 19, 41123 Modena MO	
nora01	Salami Oleodinamica	PL000212	Via Emilia Ovest, 1006, 41123 Modena MO	
RITA_RONCHETTI_1	San Carlo	PL000213	Via S. Carlo, 5, 41121 Modena MO	
